,link,#_link_in_img
0,london,10
1,george w. bush,5
2,leonardo da vinci,4
3,united states,4
4,greece,4
5,india,4
6,england,4
7,australia,3
8,westminster abbey,3
9,belfast,3
10,japan,3
11,raphael,3
12,mona lisa,3
13,romania,3
14,warsaw,3
15,poland,2
16,norway,2
17,oslo,2
18,prague,2
19,vancouver,2
20,michelangelo,2
21,athens,2
22,mumbai,2
23,denmark,2
24,bishop tutu,2
25,earth's atmosphere,2
26,canada,2
27,industrial revolution,2
28,france,2
29,berlin,2
30,mediterranean,2
31,"national gallery, london",2
32,odysseus,2
33,condoleezza rice,2
34,beijing,2
35,roman,2
36,russian,2
37,guadeloupe,2
38,jesus,2
39,magna carta,2
40,new zealand,2
41,jewish,2
42,"washington, d.c.",2
43,spain,2
44,hong kong,2
45,switzerland,2
46,william hogarth,2
47,palace of westminster,2
48,edinburgh,2
49,eastern,2
50,christian,2
51,hindu,2
52,islamic,2
53,buddhist,2
54,shinto,2
55,sikh,2
56,baha'i,2
57,sweden,2
58,albrecht dürer,2
59,francisco goya,2
60,china,2
61,qur'an,1
62,rome,1
63,karl marx,1
64,croatia,1
65,luxembourg,1
66,trafalgar square,1
67,finland,1
68,latin alphabet,1
69,charles ii,1
70,cyprus,1
71,orthodox christianity,1
72,bulgaria,1
73,heraldry,1
74,isle of wight,1
75,football,1
76,barcelona,1
77,united states house of representatives,1
78,thunderstorm,1
79,optical microscope,1
80,czech republic,1
81,living systems,1
82,euro,1
83,order of the garter,1
84,tutu,1
85,lyndon b. johnson,1
86,louis armstrong,1
87,roman god,1
88,latin,1
89,sermon on the mount,1
90,bible,1
91,belgium,1
92,first council of nicaea,1
93,northern ireland,1
94,mahabharata,1
95,"martin luther king, jr.",1
96,jupiter,1
97,aral sea,1
98,modern iran.,1
99,11th century,1
100,faroe islands,1
101,saladin,1
102,nepal,1
103,åland,1
104,hiv,1
105,pope,1
106,music,1
107,bangladesh,1
108,energy,1
109,light,1
110,max weber,1
111,international court of justice,1
112,the hague,1
113,european parliament,1
114,popular vote,1
115,brazil,1
116,democracy,1
117,united nations,1
118,tour de france,1
119,beer,1
120,tony blair,1
121,robert peel,1
122,rembrandt,1
123,jakarta,1
124,indonesia,1
125,paris,1
126,francis of assisi,1
127,hitler,1
128,nazism,1
129,communism,1
130,octavian,1
131,romulus augustus,1
132,byzantine empire,1
133,colley cibber,1
134,germany,1
135,sculptures,1
136,europe,1
137,portugal,1
138,póvoa de varzim,1
139,the last supper,1
140,king george vi,1
141,nikola tesla,1
142,michael faraday,1
143,president,1
144,bush,1
145,homer,1
146,cornell university,1
147,university of chicago,1
148,thomas cranmer,1
149,books of common prayer,1
150,prince george,1
151,king george v,1
152,king edward viii,1
153,trinity college,1
154,wales,1
155,engineered,1
156,larger image,1
157,scene,1
158,world heritage site,1
159,cambodia,1
160,palladian,1
161,hot air balloon,1
162,peter grimes,1
163,queen victoria,1
164,trumpet,1
165,chinese,1
166,kuwaiti,1
167,cambridge,1
168,18th century,1
169,moon,1
170,sea of galilee,1
171,dalai lama,1
172,carbon dioxide,1
173,ice age,1
174,henry james,1
175,soviet union,1
176,vienna,1
177,wimbledon,1
178,helium,1
179,fig. 5,1
180,fig. 2,1
181,bodyline,1
182,peter paul rubens,1
183,munich,1
184,agamemnon,1
185,ezra pound,1
186,national gallery,1
187,lake tahoe,1
188,canterbury cathedral,1
189,andrew johnson,1
190,grover cleveland,1
191,california,1
192,boston,1
193,x11,1
194,british empire,1
195,cassini,1
196,italy,1
197,jerusalem,1
198,16th century,1
199,felix mendelssohn,1
200,pompeii,1
201,danube,1
202,oil refinery,1
203,amsterdam,1
204,italian,1
205,augustus,1
206,sculpture,1
207,science,1
208,geometry,1
209,ludwig van beethoven,1
210,frédéric chopin,1
211,richard wagner,1
212,pakistan,1
213,japanese,1
214,coventry,1
215,st paul's cathedral,1
216,manchester,1
217,"geneva, switzerland",1
218,dorset,1
219,sahara,1
220,kashmir,1
221,allah,1
222,arabic,1
223,mecca,1
224,esa,1
225,jazz,1
226,florence nightingale,1
227,magnet,1
228,pacific ocean,1
229,southern ocean,1
230,bucharest,1
231,akbar,1
232,portsmouth,1
233,hammurabi's code of laws,1
234,jacques-louis david,1
235,egyptian,1
236,richard,1
237,garter,1
238,mark webber,1
239,ariel sharon,1
240,jordan,1
241,president of the united states,1
242,new york city,1
243,st. petersburg,1
244,tokyo,1
245,ronald reagan,1
246,dublin,1
247,kievan,1
248,chocolate,1
249,santorini,1
250,gold,1
251,oils,1
252,cholera,1
253,vincent van gogh,1
254,barn owl,1
255,piano,1
256,dutch,1
257,pope john paul ii,1
258,sequoia,1
259,sphere,1
260,henry moore,1
261,inca,1
262,zeus,1
263,himalayan,1
264,mount everest,1
265,charlemagne,1
266,chicago,1
267,german,1
268,belgian,1
269,poem,1
270,20th century,1
271,sultan,1
272,ottoman empire,1
273,canberra,1
274,honduras,1
275,papua new guinea,1
276,niger,1
277,granite,1
278,airbus a380,1
279,lunar,1
280,peregrine falcon,1
281,édouard manet,1
